tb9id,uid,sid,topID,quesID,quesAns,bonusWord,bonusWordCnt,bonusMoney
33,82,A1LR1VZBKTV4Y1,1,k2,"Air bubble for inner corneal surgery. Bone grafts for over 12 inches of bone. People regenerate a pint of blood in a day, and the red cells in 2 weeks.",air bubble surgery bone inches bone people pint blood day cells weeks,12,0.60
34,86,A1U6A617Q95MTZ,1,k2,"Bone grafts can be used to help with cancer, tumors or more basic bone strengthening or to help heal fractures. The procedure to prepare donated bone, which if not from the patient themselves, usually comes from dead bodies, is called processing. Processing bones helps insure there is no contamination or infection. People with a history of cancer cannot donate bone. Millions of people need and receive blood transfusions.",bone cancer tumors bone fractures procedure bone patient bodies processing processing bones contamination infection people history cancer bone millions people need blood transfusions,23,1.15
35,88,A3GWGTLQNHVQ2M,1,k2,,,0,0.00
36,90,A35383F78OFV4B,1,k2,"Cornea transplants.
Grafts from the patient.
Grafts from a donor.
Different components of blood.",cornea transplants patient donor components blood,6,0.30
37,87,A167SYXGXFU7C8,1,k2,"more people are willing to donate their corneas so people dont have to wait long times for them
cornea and bone is usually obtained from cadavers
the cornea has 3 layers
after a transplant, sutures are usually used but they can use a ""bubble"" of air to stabilize as well
bone grafts can be lengths of bone, or the ""tissue""(cells?) surrounding the bone or the marrow from inside the bone.
marrow can be obtained using a needle(requiring no surgery)or can be obtained from the recipients body in an area such as the hips
the first layer of the cornea is used for protection, to focus light and something else
the middle layer is 90% of the total cornea, and secretes fluid for lubrication, and O2 to feed it. there are no blood vessels in the cornea",people corneas people cornea bone cornea layers transplant sutures bubble air bone bone bone marrow bone marrow recipients body area hips layer cornea focus light something middle layer cornea fluid blood vessels cornea,33,1.65
38,91,A1VJAEPNA6YARO,1,k2,,,0,0.00
39,78,A14HW0XMI4R2ON,1,k2,,,0,0.00
40,92,A77K8W55MJEKX,1,k2,"A bone graft is a process of transplanting bone tissue. Surgeons use this technique to help rebuild diseased bones, especially those that are damaged after injuries or accidents. ",bone graft process bone tissue surgeons technique bones accidents,9,0.45
41,94,A98XHW6B1VSSQ,1,k2,"Blood types are A, B, AB, and O
You must weigh at least 110 pounds
You must be at least 17 years old
Blood is run through tests to make sure it is safe
Blood is stored in plastic bags
Blood has white blood cells removed
It takes 24 hours for the body to replenish the blood taken
It takes longer for the body to replenish the cells taken by the blood removed.
Pregnant women can not give blood during pregnancy 
Pregnant women can not give blood for 6 weeks following giving birth. 
  ",blood types pounds years blood tests blood plastic bags blood blood cells hours body blood body cells blood women blood pregnancy women blood weeks birth,25,1.25
42,93,A1O67YS3DU0ZHX,1,k2,"Healthy people can donate blood with no problem, usually. There are different ways to donate, the most common being taking blood from a vein. Bone grafts can come from the patient needing the graft themselves, from other people, or even from man-made materials. There are sometimes complications though, including pain and rejection of the graft. Corneal donors are becoming more common, as opposed to donors of other organs.",people blood problem ways blood vein bone patient graft people materials complications pain rejection graft donors donors organs,18,0.90
43,98,A3UOH4UMWWV216,1,k2,no ideas,,0,0.00
44,99,A224B7BAQ0MZSN,1,k2,,,0,0.00
45,102,A2C39KTRMOM1XZ,1,k2,blood donation is from a person it takes about an hour and a large needle is used to decrease damage to the red blood cells. blood can be seperated into plasma or platelletes or the red blood cells the body replaces the blood in 24 hours. A cornea transplant is when the dome shaped surface of the eye is replaced. The donor replacement is called a Keratoplothy the cornea has three diffrent layers epitlirm the endotelium and the storma. a bone graft is when donor ligaments can be used to strengthen the ligaments of a person who has had an accident or a disease generally used in the knee or hip,blood donation person hour needle damage blood cells blood plasma blood cells body blood hours cornea transplant surface eye donor replacement cornea layers bone graft donor ligaments ligaments person accident disease knee hip,33,1.65
46,106,ATADQXPHL10Y8,1,k2,I did not learn any ideas as these were articles rooted in fact .,fact,1,0.05
47,108,A2L9O81ACCOLMX,1,k2,"Blood is restored within one day to several weeks of giving a donation. 
",blood day weeks donation,4,0.20
48,109,A1AVB030QDFWCE,1,k2,,,0,0.00
49,114,A2698HJZM7SE4C,1,k2,Bone grafts can be taken from bone tissue which is transplanted from another site on your own body or from another persons bone.  Blood Donations need to be filtered and an adult human can donate up to 1 pint of blood.  Corneal Transplants are fairly common and easy to get.,bone bone tissue site body persons bone blood donations need pint blood transplants,13,0.65
50,120,A4ZW4GNQ98HV6,1,k2,,,0,0.00
51,121,A3BHRFFG75X3GO,1,k2,"cornea has three layers: endothelium, stroma epithelium.
cornea has no blood vessels and gets oxygen from your tears.
cornea transplant is easier to get than kidney or liver tranplant due to cornea transplants after someone dies.

autograft is a bone transplant where the bone comes from another place in your body. allograft is when the bone is from someone else.
people who break bones or have surgery for tumor removal get bone grafts. the autograft has less chance that the body rejects the transplant.

blood donation uses a needle to get your blood and store it in a plastic bag. The facility tests the blood from infection.
People with disease cannot donate blood. Some disease are HIV and mad cow disease and Jacob-Kreutzfeld disease.
blood banks use anticlotting techniques to prevent blood from clotting.",cornea layers endothelium stroma epithelium cornea blood vessels oxygen tears cornea transplant kidney liver cornea transplants someone autograft bone transplant bone place body allograft bone someone people bones surgery tumor bone autograft chance body transplant blood donation needle blood store plastic bag tests blood infection people disease blood disease cow disease disease blood banks techniques blood,56,2.80
52,129,AX0KHOWMMM6Z2,1,k2,,,0,0.00
53,125,A2WYXS94418JXA,1,k2,"Bone graft are transplants of bone tissue. 
Bone grafts repair and rebuild diseased or damaged tendons, bones,and cartilage in body parts. 
Bone grafts help the bone to rebuild itself. 
Allografts are transplants from a dead person. 
Chronic pain can be the result of a bone graft or allograft.
900,000 allografts are done each year.
Volunteers donate blood.
Blood is used for transfusions or used to be separated into parts used to make blood products.  
Long needles are used to lessen the damage to red blood cells.
Blood is stored in a plastic bag.
Donators usually donate a pint of blood, which is not risky.
When someone donates blood it usually takes 24 hours for their body to replace the blood.
The risk of catching HIV or other diseases is rare due to the screening process of the blood bank.  
Cornea transplants are also called keratoplasty.
There is not usually a long wait for those in need of a cornea transplant. 
The cornea helps you focus.
Corneas absorb oxygen from tears.",bone graft transplants bone tissue bone repair tendons cartilage body parts bone bone transplants person pain result bone graft allograft year blood blood transfusions parts blood products needles damage blood cells blood plastic bag pint blood someone blood hours body blood risk diseases screening process blood bank cornea transplants keratoplasty need cornea transplant cornea focus corneas oxygen tears,58,2.90
54,131,A2AW0DEZLCZ23N,1,k2,"Cornea comes to die people.
Cornea has three layers.
bone graft is the transplant of bone tissue.
Graft is used to repair bones, tendons.",cornea people cornea layers bone graft transplant bone tissue graft repair bones tendons,13,0.65
55,132,A37N5X89RE99B0,1,k2,"Blood transfusions can save lives, and luckily there are quick and safe ways of doing so.

The two types of Bone grafting have their pros and cons, but man-made bone replacements can cause issues as well. I would rather have autografting performed if my body can withstand 2 surgeries. 

Cornea transplants sound gross and very challenging to perform. ",blood transfusions ways types bone bone replacements cause body surgeries cornea transplants,12,0.60
56,136,A32ZPYIWFEUCDX,1,k2,"Bone Graft: mostly for healing bones. 
Donation sight usually pelvic region.

Cornea: is the clear covering of the eye.
Has no blood vessels.
has three layers.
Gets oxygen from tears.

Blood can be:
Whole
red cells
platelets
plasma",bone graft healing bones donation cornea eye blood vessels layers oxygen tears blood cells platelets plasma,16,0.80
57,137,ACUVVGMLPM2NQ,1,k2,,,0,0.00
58,140,A3S5QDW6OU35NH,1,k2,"Corneal transplant patients do not wait on a long list before receiving transplants as corneal tissue is a popular option for people willing to donate tissue. 

Blood donations use larger needles during the blood draw to reduce damage to red blood cells. 

Adults replace the fluid lost in blood donation within a few hours, and blood cells within a few weeks. 

There is a difference between whole blood donations and a type of donation that allows specific blood substances like plasma or red blood cells to be separated out. ",transplant patients transplants tissue option people tissue blood donations needles blood damage blood cells adults fluid blood donation hours blood cells weeks blood donations type donation blood substances plasma blood cells,31,1.55
59,143,A8KX1HFH8NE2Q,1,k2,,,0,0.00
60,141,A1BRCCV1X4E6X5,1,k2,,,0,0.00
61,146,A2TXWYY91LRGJG,1,k2,,,0,0.00
62,144,A179EXKWCPDVJY,1,k2,"Corneal transplants can help with vision in the case of a damaged cornea. I am especially interested in this type of operation since I myself have a damaged cornea which could be improved by this type of surgery. I am glad do many people are willing to donate their corneas upon their passing away. I have many ideas about donating different body parts and fluids, including corneas and blood. The more the public becomes aware how they can help others with the donations of their body parts the better our future generations will be due to the end of their suffering.",transplants vision case cornea type operation cornea type surgery people corneas body parts fluids corneas blood others donations body parts,20,1.00
63,147,A3MIIUL4O2DPY7,1,k2,"Bone grafts come in two forms, allograph and autograph. Autograph is where you donate bone to yourself.",bone forms bone,3,0.15
64,148,A14NP6X071S7GK,1,k2,I thought it was crazy someone actually discovered that you can replace a tiny thin film on your eye. It makes me think people are weird and crazy. The bone thing is crazy too like who comes up with this stuff,someone eye people bone,4,0.20
65,149,AMQ2SGE3VBIYA,1,k2,"The cornea is made up of three layers, the epiphilium, stroma, and endophilium. The layers can be replaced separately in lamellar transplantation, or the entire cornea can be replaced if needed. Bone grafts are sometimes done with a man made bone replacement product. Osteoblasts and osteoplasts, cells which replace bone, must often be replaced in the area to be transplanted. Blood donation is done with a large needle to minimize the sheering forces experienced by blood cells as they pass through it, in order to reduce damage to the cells.",cornea layers stroma layers transplantation cornea bone bone replacement product osteoblasts cells bone area blood donation needle forces blood cells order damage cells,23,1.15
66,152,A14OUWUVFGIIUM,1,k2,"Donors are carefully processed for allografts, people with cancer cannot donate.
The procedure to donate the bone is called processing.
Over 900,000 allografts are processed each year.
Most allografts come from the deceased who died very suddenly or were killed in accidents.
Autografts come from within the patient, and come from non essential bones such as the hip but never the knees or spine.
Block grafts are grafts of larger areas on the body.
Autografts have a lower risk of infection/rejection because it is natural to the recipient. ",donors people cancer procedure bone processing year accidents patient bones hip knees spine block areas body risk,17,0.85
67,166,A30F1XBP254OTI,1,k2,"bone graft can come from others or your own body it is called autographing, blood donation comesin many forms such as straight blood draw or plasma pherisis, corneal transplants come from dead people and can take weeks to a year to fully heal. a corneal implant is an outpatient procedure.",bone graft others body blood donation forms blood plasma transplants people weeks year implant outpatient procedure,16,0.80
68,168,A1WXN7JJWET1LI,1,k2,,,0,0.00
69,172,A3UEM5FKJU9UDW,1,k2,,,0,0.00
70,167,A3J9EHZQ9PERAX,1,k2,"After a blood donation, the body replaces the lost fluids within 24 hours. 
The storage of whole blood can be kept up to 30 days. 
A cornea transplant is getting a cornea from a donor and surgically implanting it in the patient. Most corneas used in transplantation are from deceased donors. 
A bone graft is the transplantation of bone from a donor. Bone grafts are used to repair diseased bones.  ",blood donation body fluids hours storage blood days cornea transplant cornea donor patient corneas transplantation donors bone graft transplantation bone donor bone repair bones,24,1.20
71,165,A3GIXWJIKMNUCV,1,k2,,,0,0.00
72,176,A2JSQET9OQ9PDM,1,k2,Everything that I can think of was explained in the section just previous to this one. Thanks.,,0,0.00
73,170,A34A7MN2SKHWUC,1,k2,,,0,0.00
74,182,A1B4227M08K866,1,k2,"A needle is used to take blood.  They also sanitize the top of the skin where the needle will be placed to stop the spread of infection. After donating, the body replaces fluids within 48 hours. Donating is a great way to help people who are fighting a disease or simply had an accident.  Plasma makes up 55% of the blood volume.  People can feel dehydrated.  Blood is made of 92% water.",needle blood skin needle spread infection body fluids hours way people disease accident plasma blood volume people blood water,19,0.95
75,188,A1HFML4SFJP7W7,1,k2,I learned that certain patients need certain parts of the blood for various reasons.  I had no idea that sometimes blood is returned back into the donors body.  I also learned there are variances in the length of storage and some blood is frozen.,patients need parts blood reasons blood donors body length storage blood,11,0.55
76,187,A2LKGMMTO4DC4Z,1,k2,"bone graft- live donors spinal pain
blood donation- platelets
cornea- eyes

",bone graft donors pain blood donation platelets cornea eyes,9,0.45
77,190,A1HC2VB14J5KIB,1,k2,bone graft some times has side effects. they are chronic pair where surgical transplant.the three layer of cornea transplant called penetrating cornea transplanting and some of the layer transplantation called lamellar cornea transplantation. blood can saved in plastic flexible bag. the all blood p[arts can be used.,bone graft side effects layer cornea transplant cornea layer transplantation cornea transplantation blood plastic bag blood parts,17,0.85
78,195,ABUXM7VAW5SKJ,1,k2,"     There are some potential drawbacks of bone graft surgeries, such as the risk of chronic pain from the surgical site, or occasionally rejection of transplants. To insert the bone graft, the physician usually makes a deep cut into the bone. Therefore, sometimes the nerves maybe inadvertently cut and result in pain after the surgery. The body replaces the lost fluids within 24 hours of a blood donation, and the lost red blood cells within several weeks. Whether the corneal transplant involves a penetrating or lamellar procedure, it is often done on an outpatient basis in which patients enter the hospital a few hours prior to surgery and leave that same day. Patients generally leave the hospital a few hours after the surgery. Local or general anesthesia can be used for this procedure to reduce pain.",drawbacks bone graft surgeries risk pain site rejection transplants bone graft physician bone nerves result pain surgery body fluids hours blood donation blood cells weeks transplant procedure outpatient basis patients hospital hours surgery day patients hospital hours surgery anesthesia procedure pain,41,2.05
79,186,A1REWUVT3N8SN7,1,k2,"Corneal Transplants - Help people who damage of the layers in their eyes.  There are two kinds of transplants available depending on the severity of the eye damage.

Bone Graft - used to heal bone fractures from falls.",transplants people damage layers eyes kinds transplants severity eye damage bone graft bone fractures,14,0.70
80,194,A1D0PHYBW2QXXF,1,k2,Different parts of dead bodies can be used for bone grafts and corneal transplants. Blood comes from living persons. It is all so helpful to people who need these things.,parts bodies bone transplants blood persons people need,8,0.40
81,197,A3W3TEOEEF4Z3X,1,k2,,,0,0.00
82,199,A20NDRGSZZRQF,1,k2,SOME PEOPLE ARE TOO SICK TO DONATE....,people,1,0.05
83,193,A2ARHK50FQ79YC,1,k2,"-A bone graft is a transplant of live bone tissue
-Corneal transplants typically come from deceased donors
-Blood donation may be through needle or apharesis
-Bone grafts may benefit those with weakened bones or persons suffering from chronic disease
-Blood donation may be in the form of red blood cells, white blood cells, platelets or plasma
-There are three levels of the cornea
",bone graft transplant bone tissue transplants donors blood donation needle bone benefit bones persons disease blood donation form blood cells blood cells platelets plasma levels cornea,26,1.30
84,202,A3LRSX7ECYPSF4,1,k2,"- Bone grafts, being transplants, can be rejected by the recipient. Great care is taken to avoid contamination, and the bone material is carefully tested and prepped by specialists to minimize the spread of disease. 
- Bone grafts allow for the body to grow new bone around the graft.
- Blood donation can be performed in more than one way.
- It takes the human body about 24 hours to recover from donating a pint of blood (which is considered safe), but up to several months to restore its former red blood cell count.
- Blood donation helps millions of people who need transplants every year.
- During blood donation, special long needles are used to prevent red blood cells from sustaining damage caused by ""shearing"".
- Corneal transplants are performed under a microscope with a sharp, cookie-cutter-like instrument that is extremely precise and can remove one layer at a time.
- The cornea does not have a blood supply, but sustains itself by drawing oxygen out of tears.
- Corneal transplants are either sutured into place with very fine nylon thread that is left in the eye for months or weeks (or permanently), or slipped into place as the innermost layer of the cornea via use of an air bubble (although this is a rather new technique).",bone transplants contamination bone material spread disease bone body bone graft blood donation way body hours pint blood months blood cell blood donation millions people need transplants year blood donation needles blood cells damage shearing transplants microscope instrument layer time cornea blood supply oxygen tears transplants place nylon eye months weeks place layer cornea air bubble technique,57,2.85
85,203,A17I88FWG7XU6A,1,k2,"Bone graft is a transplant of bone tissue. 
Used to repair diseased bones. 
allograft is bone or tissue transplanted from one person to another person. 
Blood donation occurs when one person gives donates blood that is used for blood transfusions or other blood products. 
Corneal transplants is a procedure where a part of your cornea is replaced by tissue from another donor. It can help with vision, and it can reduce the feeling of pain. ",bone graft transplant bone tissue repair bones allograft bone tissue person person blood donation person blood blood transfusions blood products transplants procedure part cornea tissue donor vision pain,28,1.40
86,192,A14CX1IUDSVFLL,1,k2,Most of corneas used in transplants procedure from deceased donors that is really amazing idea which I feel every one must think and do to live among even after death. In bone grafting there is also possibility and risk of transplant rejection.Blood donation been most familiar way which one can opt to save life of other who is in need.  ,corneas transplants procedure donors death bone possibility risk transplant donation way life need,13,0.65
87,205,A319HGTKM0UY0V_2,1,k2,,,0,0.00
88,206,A23S3TBFRILU5H,1,k2,"Corneal transplants involve transplants around the surface of the eyes. The transplants come from deceased organ donors. The procedure is done outpatient under a microscope. A bone graft involves bone tissue. Allograt bone tissue comes from deceased and autograft comes from the patient in another part of the body. There are frozen bone banks and people have bone grafts to rebuild diseased bones, tendons, and cartilage. Blood donations are very common is they often come straight from the vein; however there are machines that can separate blood for specific components such as plasma. Millions of people need blood and it is okay for most healthy people to donate up to a pint. There are many factors that need to be considered in blood donation which include screening out infectious blood, determining proper blood type, and safe use in emergencies such as using type O blood because it is safe.",transplants transplants surface eyes transplants organ donors procedure outpatient microscope bone graft bone tissue bone tissue autograft patient part body bone banks people bone bones tendons cartilage blood donations vein blood components plasma millions people need blood people pint factors need blood donation screening blood blood type emergencies type blood,50,2.50
89,207,A30QRYULPVYZQV_2,1,k2,"Millions of people need blood or bone grafts every year due to injury or illness.  

Donating blood is very common and simple.

Bone grafts allow the person who received the donation to grow healthy bone tissue.  

A person can donate either whole blood or blood components.

A healthy adult can donate a pint of blood at a time.

It takes 24 hours for the body to replace the fluids lost in a donation and several weeks to replace the red blood cells.",millions people need blood bone year injury illness blood bone person donation bone tissue person blood blood components pint blood time hours body fluids donation weeks blood cells,28,1.40
90,209,A2EMG4S9LWOIZZ,1,k2,,,0,0.00
91,210,A1YBX7P5PY8LL,1,k2,,,0,0.00
92,211,test,1,k2,,,0,0.00
93,212,test1,1,k2,"Here I type myself
lease type the ideas you learned from Donation and Medical Transplants 
as many as you can. 
(Any information about Bone Graft, Blood Donation, Corneal Transplants.)",type type donation transplants bone graft blood donation transplants,9,0.45
94,214,test3,1,k2,bone grafts blood donation autografts,bone blood donation,3,0.15
95,221,A1YPPL2PTVXO0W,1,k2,"Corneal transplants can be the entire cornea or different layers.  
The waiting list for cornea transplants is much shorter than for other organs.
Cornea difficulties are painful and cause difficulty with vision.
Many people donate corneas, much more so than other organs.
Blood donation for red blood cells can be completed every 4 months.
A machine is used for plasma and red blood cell collection.  
Each time of blood donation has a different length of time that it is able to be used for.
People donate a pint of blood at a time. 
Doctors prefer to use the same blood for the treatment when possible.
Bone grafts are done for a number of reasons.  
Spinal fusions are done when needed and nicotine affects this a lot.
",transplants cornea layers cornea transplants organs cornea cause vision people corneas organs blood donation blood cells months machine plasma blood cell collection time blood donation length time people pint blood time doctors blood treatment bone number reasons fusions nicotine lot,40,2.00
96,225,A2U7BMG19Q83GE,1,k2,"All these procedures are not only difficult and complicated, but are very ethically difficult. Rather than being straightforward these procedures rely on donated materials, a match with the donor/recipient and generally are very hard to manage. These procedures offer great promise however are very hard to control all of the variables. ",procedures procedures materials procedures offer control,6,0.30
97,232,A3TYWTLNIKKD29,1,k2,I learned a lot about blood donation. I learned about the steps that are taken. I also learned how many people are benefited by blood transfusions and organ transplants. ,lot blood donation people blood transfusions organ transplants,8,0.40
98,217,A3CLCXBZORQ4BU,1,k2,"Bone grafts are the transplanting of bone tissue. Grafts provide a framework for the body to regrow new bone after an accident or illness. Transplanted bone can be taken from another living person or a donor who has died. Donated bone can be contaminated with diseases while bone made from collagen or ceramics will be disease free. The drawback of synthetic bone is that it is either less strong than real bone or does not provide the same nutrients and proteins that real bone provides to facilitate bone regrowth. Smoking is terrible for the chances of a successful bone graft.

Blood donation is a procedure whereby a donor agrees to have their blood withdrawn through a large bore needle and collected by medical staff to be used when people need transfusions. Whole blood donation is the simplest process whereby blood is simply taken from a person in its entirety. Blood can also be withdrawn then separated into platelets, plasma, red blood cells and white blood cells. Any combination of these can be kept for transfusion or returned into the donor. In the process of autologous donation, people have their own blood collected prior to a surgery where they know they will need a blood transfusion which lessens the risk of disease or blood type incompatibility.

Corneal transplants replace all or part of the cornea which is the focal lens of the eye. The process is called a keratoplasty. The cornea is made up of three layers, the stroma, epithelium and endothelium. When the whole cornea is replaced the procedure is a penetrating transplant while if only some of the layers are replaced it is a lamellar transplant. There are many donors of corneas so the waiting time for patients is generally much shorter than the waiting time for a kidney or a liver. Corneal transplants can help patients by restoring vision, or improving the appearance of a damaged cornea.",bone bone tissue framework body bone accident illness bone person donor bone diseases bone collagen ceramics disease drawback bone bone nutrients proteins bone bone smoking bone graft blood donation procedure donor blood needle people need transfusions blood donation process blood person blood platelets plasma blood cells blood cells combination transfusion donor process donation people blood surgery need blood transfusion risk disease blood type incompatibility transplants part cornea lens eye process keratoplasty cornea layers stroma epithelium endothelium cornea procedure transplant layers transplant donors corneas time patients time kidney liver transplants patients vision appearance cornea,93,4.65
99,228,AX7VQSTZA8DQA,1,k2,,,0,0.00
